,fcs_region
0,2.0
1,2.0
2,5.0
3,3.0
4,2.0
5,0.0
6,1.0
7,2.0
8,3.0
9,3.0
10,1.0
11,2.0
12,3.0
13,5.0
14,3.0
15,6.0
16,4.0
17,2.0
18,6.0
19,7.0
20,6.0
21,6.0
22,6.0
23,5.0
24,4.0
25,5.0
26,4.0
27,2.0
28,1.0
29,2.0
30,3.0
31,1.0
32,2.0
33,3.0
34,6.0
35,4.0
36,3.0
37,3.0
38,2.0
39,4.0
40,1.0
41,3.0
42,3.0
43,3.0
44,2.0
45,2.0
46,5.0
47,3.0
48,5.0
49,3.0
50,6.0
51,7.0
52,5.0
53,4.0
54,3.0
55,3.0
56,2.0
57,1.0
58,1.0
59,0.0
60,1.0
61,0.0
62,0.0
63,1.0
64,1.0
65,0.0
66,0.0
67,3.0
68,4.0
69,3.0
70,3.0
71,2.0
72,2.0
73,2.0
74,4.0
75,4.0
76,4.0
77,2.0
78,0.0
79,0.0
80,3.0
81,2.0
82,2.0
83,3.0
84,4.0
85,4.0
86,1.0
87,2.0
88,2.0
89,4.0
90,4.0
91,6.0
92,2.0
93,1.0
94,0.0
95,3.0
96,2.0
97,2.0
98,3.0
99,0.0
100,1.0
101,2.0
102,2.0
103,2.0
104,1.0
105,3.0
106,4.0
107,2.0
108,3.0
109,2.0
110,1.0
111,2.0
112,3.0
113,2.0
114,5.0
115,4.0
116,4.0
117,3.0
118,5.0
119,4.0
120,2.0
121,3.0
122,1.0
123,2.0
124,1.0
125,1.0
126,1.0
127,3.0
128,6.0
129,7.0
130,4.0
131,4.0
132,11.0
133,9.0
134,11.0
135,9.0
136,7.0
137,5.0
138,6.0
139,7.0
140,4.0
141,4.0
142,3.0
143,1.0
144,4.0
145,6.0
146,9.0
147,5.0
148,5.0
149,3.0
150,5.0
151,3.0
152,6.0
153,4.0
154,5.0
155,5.0
156,3.0
157,3.0
158,7.0
159,6.0
160,5.0
161,6.0
162,4.0
163,4.0
164,6.0
165,4.0
166,4.0
167,5.0
168,6.0
169,3.0
170,2.0
171,2.0
172,3.0
173,4.0
174,2.0
175,1.0
176,2.0
177,3.0
178,3.0
179,3.0
180,3.0
181,2.0
182,3.0
183,8.0
184,6.0
185,4.0
186,3.0
187,3.0
188,1.0
189,2.0
190,4.0
191,6.0
192,6.0
193,4.0
194,3.0
195,2.0
196,0.0
197,2.0
198,1.0
199,2.0
200,2.0
201,3.0
202,2.0
203,4.0
204,4.0
205,4.0
206,2.0
207,2.0
208,0.0
209,0.0
210,0.0
211,2.0
212,2.0
213,2.0
214,3.0
215,2.0
216,1.0
217,2.0
218,4.0
219,4.0
220,2.0
221,2.0
222,3.0
223,4.0
224,2.0
225,2.0
226,1.0
227,2.0
228,2.0
229,3.0
230,3.0
231,4.0
232,3.0
233,2.0
234,4.0
235,3.0
236,4.0
237,1.0
238,2.0
239,1.0
240,3.0
241,3.0
242,2.0
243,2.0
244,2.0
245,4.0
246,4.0
247,7.0
248,3.0
249,6.0
250,4.0
251,3.0
252,1.0
253,0.0
254,2.0
255,3.0
256,2.0
257,2.0
258,1.0
259,1.0
260,1.0
261,1.0
262,1.0
263,2.0
264,1.0
265,1.0
266,1.0
267,2.0
268,1.0
269,1.0
270,1.0
271,0.0
272,2.0
273,2.0
274,2.0
275,2.0
276,2.0
277,0.0
278,2.0
279,1.0
280,1.0
281,1.0
282,1.0
283,0.0
284,2.0
285,3.0
286,3.0
287,4.0
288,5.0
289,8.0
290,7.0
291,6.0
292,1.0
293,3.0
294,2.0
295,4.0
296,5.0
297,2.0
298,2.0
299,1.0
300,3.0
301,5.0
302,2.0
303,3.0
304,3.0
305,3.0
306,3.0
307,4.0
308,5.0
309,3.0
310,1.0
311,2.0
312,2.0
313,2.0
314,3.0
315,3.0
316,3.0
317,1.0
318,3.0
319,4.0
320,6.0
321,6.0
322,5.0
323,6.0
324,5.0
325,7.0
326,6.0
327,6.0
328,6.0
329,5.0
330,7.0
331,2.0
332,2.0
333,1.0
334,4.0
335,4.0
336,3.0
337,3.0
338,4.0
339,4.0
340,1.0
341,4.0
342,1.0
343,0.0
344,2.0
345,2.0
346,2.0
347,3.0
348,3.0
349,2.0
350,2.0
351,4.0
352,5.0
353,2.0
354,7.0
355,2.0
356,3.0
357,4.0
358,4.0
359,2.0
360,4.0
361,4.0
362,2.0
363,3.0
364,1.0
365,2.0
366,5.0
367,7.0
368,7.0
369,4.0
370,4.0
371,5.0
372,3.0
373,1.0
374,2.0
375,2.0
376,3.0
377,3.0
378,2.0
379,2.0
380,2.0
381,4.0
382,3.0
383,4.0
384,3.0
385,2.0
386,1.0
387,0.0
388,1.0
389,2.0
390,2.0
391,3.0
392,2.0
393,2.0
394,4.0
395,2.0
396,1.0
397,2.0
398,2.0
399,1.0
400,2.0
401,1.0
402,2.0
403,0.0
404,3.0
405,3.0
406,2.0
407,4.0
408,2.0
409,3.0
410,1.0
411,3.0
412,4.0
413,5.0
414,3.0
415,3.0
416,3.0
417,1.0
418,3.0
419,3.0
420,4.0
421,4.0
422,4.0
423,4.0
424,5.0
425,5.0
426,7.0
427,4.0
428,3.0
429,4.0
430,5.0
431,6.0
432,7.0
433,2.0
434,5.0
435,5.0
436,8.0
437,4.0
438,5.0
439,5.0
440,5.0
441,5.0
442,6.0
443,6.0
444,5.0
445,3.0
446,2.0
447,4.0
448,3.0
449,3.0
450,1.0
451,1.0
452,1.0
453,1.0
454,1.0
455,1.0
456,3.0
457,1.0
458,4.0
459,4.0
460,8.0
461,7.0
462,3.0
463,6.0
464,5.0
465,4.0
466,4.0
467,4.0
468,2.0
469,0.0
470,3.0
471,5.0
472,5.0
473,8.0
474,4.0
475,6.0
476,5.0
477,3.0
478,5.0
479,3.0
480,2.0
481,2.0
482,2.0
483,1.0
484,4.0
485,2.0
486,3.0
487,4.0
488,2.0
489,2.0
490,1.0
491,2.0
492,1.0
493,1.0
494,0.0
495,3.0
496,6.0
497,6.0
498,4.0
499,4.0
500,3.0
501,3.0
502,5.0
503,4.0
504,4.0
505,5.0
506,6.0
507,2.0
508,5.0
509,7.0
510,6.0
511,4.0
512,4.0
513,4.0
514,4.0
515,5.0
516,1.0
517,3.0
518,4.0
519,4.0
520,3.0
521,4.0
522,5.0
523,4.0
524,4.0
525,5.0
526,6.0
527,5.0
528,3.0
529,6.0
530,7.0
531,5.0
532,6.0
533,6.0
534,3.0
535,3.0
536,5.0
537,4.0
538,5.0
539,6.0
540,3.0
541,4.0
542,6.0
543,5.0
544,1.0
545,5.0
546,3.0
547,4.0
548,5.0
549,5.0
550,3.0
551,2.0
552,2.0
553,1.0
554,5.0
555,2.0
556,4.0
557,3.0
558,3.0
559,3.0
560,4.0
561,4.0
562,1.0
563,3.0
564,5.0
565,3.0
566,4.0
567,3.0
568,6.0
569,6.0
570,3.0
571,3.0
572,4.0
573,3.0
574,4.0
575,4.0
576,5.0
577,3.0
578,5.0
579,4.0
580,3.0
581,1.0
582,0.0
583,2.0
584,4.0
585,0.0
586,2.0
587,2.0
588,3.0
589,4.0
590,2.0
591,3.0
592,3.0
593,3.0
594,3.0
595,2.0
596,1.0
597,1.0
598,3.0
599,1.0
600,2.0
601,3.0
602,4.0
603,4.0
604,4.0
605,4.0
606,4.0
607,5.0
608,3.0
609,4.0
610,4.0
611,4.0
612,4.0
613,1.0
614,1.0
615,2.0
616,1.0
617,3.0
618,2.0
619,1.0
620,4.0
621,2.0
622,1.0
623,1.0
624,2.0
625,5.0
626,7.0
627,5.0
628,4.0
629,4.0
630,2.0
631,3.0
632,3.0
633,4.0
634,2.0
635,3.0
636,0.0
637,3.0
638,2.0
639,2.0
640,0.0
641,1.0
642,1.0
643,2.0
644,4.0
645,4.0
646,5.0
647,4.0
648,5.0
649,3.0
650,4.0
651,2.0
652,1.0
653,2.0
654,2.0
655,4.0
656,6.0
657,6.0
658,4.0
659,6.0
660,7.0
661,4.0
662,5.0
663,4.0
664,2.0
665,4.0
666,4.0
667,4.0
668,5.0
669,5.0
670,2.0
671,2.0
672,1.0
673,2.0
674,3.0
675,3.0
676,1.0
677,1.0
678,1.0
679,3.0
680,3.0
681,4.0
682,6.0
683,7.0
684,5.0
685,3.0
686,4.0
687,3.0
688,6.0
689,8.0
690,3.0
691,4.0
692,5.0
693,6.0
694,5.0
695,3.0
696,3.0
697,2.0
698,2.0
699,2.0
700,6.0
701,3.0
702,6.0
703,5.0
704,5.0
705,3.0
706,7.0
707,3.0
708,4.0
709,3.0
710,4.0
711,2.0
712,3.0
713,0.0
714,1.0
715,0.0
716,0.0
717,2.0
718,3.0
719,3.0
720,1.0
721,2.0
722,2.0
723,0.0
724,1.0
725,3.0
726,3.0
727,3.0
728,2.0
729,1.0
730,1.0
731,2.0
732,1.0
733,1.0
734,1.0
735,1.0
736,1.0
737,1.0
738,3.0
739,3.0
740,3.0
741,4.0
742,6.0
743,5.0
744,5.0
745,3.0
746,4.0
747,6.0
748,6.0
749,2.0
750,2.0
751,1.0
752,1.0
753,0.0
754,3.0
755,3.0
756,4.0
757,4.0
758,4.0
759,3.0
760,3.0
761,3.0
762,1.0
763,5.0
764,4.0
765,2.0
766,7.0
767,3.0
768,5.0
769,6.0
770,6.0
771,6.0
772,8.0
773,5.0
774,4.0
775,5.0
776,6.0
777,3.0
778,4.0
779,4.0
780,2.0
781,4.0
782,5.0
783,6.0
784,6.0
785,3.0
786,3.0
787,2.0
788,2.0
789,2.0
790,2.0
791,2.0
792,4.0
793,6.0
794,3.0
795,5.0
796,1.0
797,2.0
798,3.0
799,3.0
800,5.0
801,5.0
802,6.0
803,1.0
804,3.0
805,2.0
806,1.0
807,4.0
808,2.0
809,4.0
810,4.0
811,5.0
812,4.0
813,4.0
814,3.0
815,2.0
816,2.0
817,5.0
818,5.0
819,3.0
820,2.0
821,4.0
822,5.0
823,1.0
824,2.0
825,2.0
826,3.0
827,2.0
828,4.0
829,2.0
830,3.0
831,2.0
832,1.0
833,1.0
834,1.0
835,2.0
836,5.0
837,6.0
838,5.0
839,5.0
840,4.0
841,6.0
842,4.0
843,3.0
844,4.0
845,3.0
846,2.0
847,2.0
848,4.0
849,4.0
850,3.0
851,3.0
852,1.0
853,2.0
854,4.0
855,2.0
856,4.0
857,4.0
858,3.0
859,3.0
860,3.0
861,2.0
862,3.0
863,2.0
864,2.0
865,3.0
866,3.0
867,3.0
868,4.0
869,2.0
870,3.0
871,4.0
872,0.0
873,3.0
874,5.0
875,5.0
876,5.0
877,4.0
878,4.0
879,2.0
880,1.0
881,2.0
882,2.0
883,2.0
884,2.0
885,3.0
886,0.0
887,1.0
888,4.0
889,4.0
890,3.0
891,2.0
892,3.0
893,2.0
894,3.0
895,4.0
896,5.0
897,3.0
898,4.0
899,5.0
900,4.0
901,5.0
902,6.0
903,7.0
904,7.0
905,7.0
906,6.0
907,7.0
908,2.0
909,4.0
910,6.0
911,1.0
912,5.0
913,7.0
914,8.0
915,5.0
916,5.0
917,3.0
918,3.0
919,5.0
920,4.0
921,3.0
922,3.0
923,3.0
924,1.0
925,3.0
926,3.0
927,3.0
928,2.0
929,6.0
930,6.0
931,6.0
932,4.0
933,4.0
934,2.0
935,1.0
936,1.0
937,1.0
938,3.0
939,6.0
940,4.0
941,4.0
942,2.0
943,2.0
944,2.0
945,3.0
946,2.0
947,2.0
948,4.0
949,4.0
950,4.0
951,5.0
952,4.0
953,2.0
954,5.0
955,6.0
956,5.0
957,4.0
958,2.0
959,1.0
960,2.0
961,3.0
962,4.0
963,4.0
964,3.0
965,3.0
966,5.0
967,4.0
968,6.0
969,3.0
970,3.0
971,6.0
972,7.0
973,9.0
974,4.0
975,3.0
976,2.0
977,3.0
978,2.0
979,1.0
980,2.0
981,2.0
982,1.0
983,2.0
984,1.0
985,1.0
986,2.0
987,2.0
988,4.0
989,3.0
990,5.0
991,2.0
992,1.0
993,2.0
994,3.0
995,4.0
996,3.0
997,3.0
998,3.0
999,3.0
1000,2.0
1001,1.0
1002,1.0
1003,2.0
1004,3.0
1005,1.0
1006,2.0
1007,3.0
1008,3.0
1009,0.0
1010,2.0
1011,2.0
1012,3.0
1013,4.0
1014,2.0
1015,3.0
1016,2.0
1017,2.0
1018,1.0
1019,0.0
1020,1.0
1021,0.0
1022,1.0
1023,2.0
1024,3.0
1025,1.0
1026,1.0
1027,0.0
1028,1.0
1029,2.0
1030,1.0
1031,0.0
1032,1.0
1033,1.0
1034,2.0
1035,2.0
1036,2.0
1037,1.0
1038,1.0
1039,2.0
1040,4.0
1041,2.0
1042,4.0
1043,3.0
1044,4.0
1045,2.0
1046,5.0
1047,5.0
1048,3.0
1049,4.0
1050,6.0
1051,6.0
1052,7.0
1053,5.0
1054,8.0
1055,8.0
1056,7.0
1057,5.0
1058,5.0
1059,4.0
1060,4.0
1061,7.0
1062,4.0
1063,4.0
1064,5.0
1065,5.0
1066,8.0
1067,7.0
1068,9.0
1069,3.0
1070,5.0
1071,4.0
1072,5.0
1073,4.0
1074,3.0
1075,4.0
1076,2.0
1077,4.0
1078,4.0
1079,4.0
1080,7.0
1081,6.0
1082,5.0
1083,5.0
1084,6.0
1085,5.0
1086,4.0
1087,4.0
1088,5.0
1089,7.0
1090,5.0
1091,7.0
1092,7.0
1093,6.0
1094,4.0
1095,5.0
1096,4.0
1097,5.0
1098,3.0
1099,3.0
1100,5.0
1101,6.0
1102,10.0
1103,7.0
1104,10.0
1105,6.0
1106,3.0
1107,5.0
1108,3.0
1109,3.0
1110,6.0
1111,6.0
1112,6.0
1113,8.0
1114,5.0
1115,5.0
1116,2.0
1117,2.0
1118,3.0
1119,3.0
1120,2.0
1121,1.0
1122,0.0
1123,1.0
1124,1.0
1125,2.0
1126,3.0
1127,3.0
1128,2.0
1129,0.0
1130,1.0
1131,2.0
1132,4.0
1133,2.0
1134,2.0
1135,2.0
1136,3.0
1137,3.0
1138,5.0
1139,5.0
1140,5.0
1141,5.0
1142,5.0
1143,3.0
1144,6.0
1145,2.0
1146,5.0
1147,3.0
1148,2.0
1149,2.0
1150,5.0
1151,4.0
1152,3.0
1153,2.0
1154,5.0
1155,6.0
1156,8.0
1157,4.0
1158,10.0
1159,5.0
1160,3.0
1161,3.0
1162,2.0
1163,4.0
1164,3.0
1165,3.0
1166,4.0
1167,1.0
1168,3.0
1169,2.0
1170,2.0
1171,4.0
1172,4.0
1173,2.0
1174,1.0
1175,3.0
1176,2.0
1177,3.0
1178,2.0
1179,1.0
1180,3.0
1181,2.0
1182,4.0
1183,4.0
1184,2.0
1185,3.0
1186,3.0
1187,4.0
1188,6.0
1189,7.0
1190,1.0
1191,2.0
1192,2.0
1193,2.0
1194,2.0
1195,4.0
1196,4.0
1197,2.0
1198,2.0
1199,1.0
1200,8.0
1201,6.0
1202,7.0
1203,12.0
1204,9.0
1205,9.0
1206,9.0
1207,6.0
1208,5.0
1209,2.0
1210,1.0
1211,2.0
1212,3.0
1213,2.0
1214,3.0
1215,2.0
1216,4.0
1217,5.0
1218,3.0
1219,2.0
1220,3.0
1221,3.0
1222,4.0
1223,4.0
1224,6.0
1225,6.0
1226,2.0
1227,2.0
1228,1.0
1229,5.0
1230,2.0
1231,2.0
1232,3.0
1233,3.0
1234,5.0
1235,1.0
1236,1.0
1237,4.0
1238,2.0
1239,4.0
1240,2.0
1241,2.0
1242,3.0
1243,2.0
1244,3.0
1245,2.0
1246,2.0
1247,2.0
1248,2.0
1249,3.0
1250,5.0
1251,5.0
1252,8.0
1253,5.0
1254,4.0
1255,5.0
1256,5.0
1257,5.0
1258,3.0
1259,4.0
1260,4.0
1261,2.0
1262,5.0
1263,2.0
1264,2.0
1265,4.0
1266,2.0
1267,4.0
1268,7.0
1269,9.0
1270,7.0
1271,5.0
1272,5.0
1273,5.0
1274,5.0
1275,4.0
1276,7.0
1277,4.0
1278,6.0
1279,7.0
1280,7.0
1281,5.0
1282,5.0
1283,7.0
1284,5.0
1285,5.0
1286,6.0
1287,4.0
1288,2.0
1289,4.0
1290,3.0
1291,5.0
1292,2.0
1293,5.0
1294,4.0
1295,3.0
1296,3.0
1297,1.0
1298,2.0
1299,2.0
1300,2.0
1301,4.0
1302,4.0
1303,6.0
1304,9.0
1305,5.0
1306,5.0
1307,5.0
1308,6.0
1309,4.0
1310,5.0
1311,4.0
1312,4.0
1313,6.0
1314,7.0
1315,6.0
1316,5.0
1317,1.0
1318,2.0
1319,1.0
1320,1.0
1321,4.0
1322,3.0
1323,2.0
1324,3.0
1325,1.0
1326,0.0
1327,1.0
1328,3.0
1329,2.0
1330,2.0
1331,4.0
1332,2.0
1333,2.0
1334,1.0
1335,2.0
1336,1.0
1337,1.0
1338,2.0
1339,2.0
1340,2.0
1341,3.0
1342,5.0
1343,4.0
1344,5.0
1345,4.0
1346,4.0
