,fcs_region
0,4.0
1,6.0
2,2.0
3,1.0
4,2.0
5,1.0
6,3.0
7,3.0
8,3.0
9,4.0
10,6.0
11,5.0
12,4.0
13,5.0
14,3.0
15,6.0
16,5.0
17,7.0
18,7.0
19,5.0
20,6.0
21,7.0
22,8.0
23,10.0
24,8.0
25,7.0
26,6.0
27,6.0
28,5.0
29,5.0
30,3.0
31,4.0
32,4.0
33,2.0
34,4.0
35,2.0
36,3.0
37,3.0
38,2.0
39,4.0
40,5.0
41,4.0
42,3.0
43,7.0
44,7.0
45,8.0
46,8.0
47,9.0
48,8.0
49,8.0
50,4.0
51,5.0
52,5.0
53,2.0
54,3.0
55,3.0
56,6.0
57,4.0
58,2.0
59,5.0
60,9.0
61,7.0
62,7.0
63,3.0
64,1.0
65,6.0
66,6.0
67,8.0
68,4.0
69,5.0
70,5.0
71,4.0
72,4.0
73,4.0
74,4.0
75,5.0
76,3.0
77,4.0
78,6.0
79,5.0
80,7.0
81,4.0
82,3.0
83,4.0
84,3.0
85,1.0
86,2.0
87,4.0
88,5.0
89,5.0
90,6.0
91,2.0
92,3.0
93,6.0
94,7.0
95,7.0
96,4.0
97,5.0
98,5.0
99,5.0
100,3.0
101,5.0
102,5.0
103,6.0
104,6.0
105,5.0
106,3.0
107,5.0
108,6.0
109,7.0
110,3.0
111,4.0
112,3.0
113,5.0
114,5.0
115,5.0
116,2.0
117,2.0
118,8.0
119,6.0
120,4.0
121,4.0
122,5.0
123,4.0
124,7.0
125,7.0
126,12.0
127,7.0
128,7.0
129,5.0
130,5.0
131,4.0
132,3.0
133,8.0
134,3.0
135,2.0
136,5.0
137,4.0
138,3.0
139,3.0
140,5.0
141,3.0
142,2.0
143,3.0
144,2.0
145,1.0
146,5.0
147,3.0
148,6.0
149,6.0
150,4.0
151,3.0
152,4.0
153,3.0
154,0.0
155,3.0
156,2.0
157,3.0
158,1.0
159,5.0
160,6.0
161,3.0
162,9.0
163,6.0
164,4.0
165,5.0
166,8.0
167,6.0
168,5.0
169,5.0
170,4.0
171,5.0
172,4.0
173,3.0
174,1.0
175,3.0
176,3.0
177,3.0
178,5.0
179,3.0
180,4.0
181,5.0
182,4.0
183,3.0
184,4.0
185,5.0
186,7.0
187,4.0
188,5.0
189,2.0
190,4.0
191,1.0
192,2.0
193,2.0
194,4.0
195,3.0
196,3.0
197,1.0
198,2.0
199,2.0
200,4.0
201,1.0
202,2.0
203,6.0
204,4.0
205,6.0
206,6.0
207,5.0
208,0.0
209,1.0
210,2.0
211,1.0
212,4.0
213,3.0
214,3.0
215,6.0
216,4.0
217,3.0
218,3.0
219,2.0
220,2.0
221,1.0
222,2.0
223,3.0
224,4.0
225,5.0
226,7.0
227,6.0
228,6.0
229,4.0
230,3.0
231,5.0
232,5.0
233,9.0
234,6.0
235,5.0
236,3.0
237,7.0
238,6.0
239,5.0
240,9.0
241,4.0
242,3.0
243,1.0
244,5.0
245,3.0
246,3.0
247,4.0
248,3.0
249,3.0
250,0.0
251,4.0
252,5.0
253,2.0
254,2.0
255,3.0
256,4.0
257,5.0
258,2.0
259,4.0
260,3.0
261,4.0
262,2.0
263,3.0
264,3.0
265,2.0
266,2.0
267,1.0
268,3.0
269,2.0
270,6.0
271,4.0
272,6.0
273,3.0
274,2.0
275,2.0
276,2.0
277,0.0
278,3.0
279,3.0
280,1.0
281,3.0
282,2.0
283,4.0
284,1.0
285,2.0
286,1.0
287,1.0
288,2.0
289,5.0
290,3.0
291,4.0
292,5.0
293,3.0
294,2.0
295,2.0
296,3.0
297,5.0
298,5.0
299,3.0
300,4.0
301,6.0
302,5.0
303,3.0
304,4.0
305,3.0
306,3.0
307,3.0
308,3.0
309,3.0
310,1.0
311,1.0
312,1.0
313,6.0
314,6.0
315,11.0
316,12.0
317,11.0
318,10.0
319,9.0
320,9.0
321,9.0
322,6.0
323,8.0
324,8.0
325,8.0
326,2.0
327,6.0
328,8.0
329,6.0
330,3.0
331,3.0
332,7.0
333,5.0
334,7.0
335,7.0
336,5.0
337,5.0
338,3.0
339,6.0
340,4.0
341,5.0
342,9.0
343,3.0
344,2.0
345,5.0
346,2.0
347,3.0
348,2.0
349,2.0
350,0.0
351,1.0
352,2.0
353,2.0
354,4.0
355,4.0
356,6.0
357,2.0
358,4.0
359,4.0
360,5.0
361,2.0
362,3.0
363,3.0
364,7.0
365,5.0
366,6.0
367,5.0
368,4.0
369,6.0
370,3.0
371,4.0
372,5.0
373,3.0
374,2.0
375,3.0
376,1.0
377,1.0
378,1.0
379,1.0
380,2.0
381,1.0
382,4.0
383,3.0
384,5.0
385,6.0
386,3.0
387,5.0
388,2.0
389,1.0
390,2.0
391,2.0
392,3.0
393,5.0
394,6.0
395,6.0
