,fcs_region
0,4.0
1,3.0
2,2.0
3,2.0
4,2.0
5,2.0
6,3.0
7,5.0
8,5.0
9,4.0
10,3.0
11,2.0
12,2.0
13,3.0
14,2.0
15,4.0
16,3.0
17,5.0
18,5.0
19,4.0
20,5.0
21,6.0
22,6.0
23,5.0
24,3.0
25,1.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,1.0
32,3.0
33,1.0
34,2.0
35,2.0
36,1.0
37,3.0
38,2.0
39,3.0
40,2.0
41,1.0
42,2.0
43,3.0
44,3.0
45,3.0
46,3.0
47,4.0
48,3.0
49,3.0
50,4.0
51,5.0
52,6.0
53,5.0
54,6.0
55,5.0
56,6.0
57,6.0
58,7.0
59,6.0
60,3.0
61,3.0
62,4.0
63,3.0
64,3.0
65,3.0
66,4.0
67,3.0
68,2.0
69,4.0
70,4.0
71,2.0
72,3.0
73,5.0
74,4.0
75,4.0
76,5.0
77,4.0
78,4.0
79,6.0
80,6.0
81,6.0
82,4.0
83,6.0
84,5.0
85,5.0
86,6.0
87,5.0
88,5.0
89,6.0
90,7.0
91,7.0
92,7.0
93,6.0
94,5.0
95,4.0
96,7.0
97,7.0
98,6.0
99,5.0
100,6.0
101,4.0
102,5.0
103,6.0
104,5.0
105,6.0
106,5.0
107,4.0
108,5.0
109,5.0
110,5.0
111,5.0
112,5.0
113,4.0
114,4.0
115,4.0
116,4.0
117,5.0
118,8.0
119,8.0
120,7.0
121,4.0
122,5.0
123,5.0
124,4.0
125,5.0
126,4.0
127,5.0
128,4.0
129,3.0
130,3.0
131,4.0
132,5.0
133,5.0
134,6.0
135,6.0
136,6.0
137,6.0
138,6.0
139,7.0
140,6.0
141,6.0
142,5.0
143,5.0
144,5.0
145,7.0
146,7.0
147,7.0
148,6.0
149,5.0
150,5.0
151,3.0
152,3.0
153,3.0
154,2.0
155,2.0
156,2.0
157,3.0
158,2.0
159,5.0
160,5.0
161,3.0
162,4.0
163,3.0
164,3.0
165,4.0
166,4.0
167,5.0
168,3.0
169,3.0
170,3.0
171,4.0
172,3.0
173,1.0
174,3.0
175,2.0
176,3.0
177,3.0
178,2.0
179,1.0
180,1.0
181,3.0
182,3.0
183,4.0
184,4.0
185,5.0
186,4.0
187,5.0
188,4.0
189,4.0
190,3.0
191,3.0
192,3.0
193,3.0
194,3.0
195,3.0
196,3.0
197,3.0
198,2.0
199,2.0
200,2.0
201,5.0
202,5.0
203,6.0
204,4.0
205,5.0
206,6.0
207,6.0
208,7.0
209,8.0
210,7.0
211,8.0
212,7.0
213,7.0
214,6.0
215,7.0
216,7.0
217,6.0
218,7.0
219,6.0
220,7.0
221,6.0
222,7.0
223,7.0
224,7.0
225,7.0
226,7.0
227,6.0
228,7.0
229,7.0
230,8.0
231,8.0
232,7.0
233,7.0
234,6.0
235,6.0
236,6.0
237,7.0
238,6.0
239,6.0
240,4.0
241,5.0
242,4.0
243,5.0
244,4.0
245,2.0
246,4.0
247,4.0
248,6.0
249,6.0
250,6.0
251,8.0
252,8.0
253,7.0
254,6.0
255,5.0
256,6.0
257,6.0
258,6.0
259,4.0
260,3.0
261,6.0
262,6.0
263,5.0
264,3.0
265,3.0
266,3.0
267,3.0
268,3.0
269,5.0
270,7.0
271,9.0
272,7.0
273,9.0
274,9.0
275,10.0
276,7.0
277,7.0
278,7.0
279,6.0
280,6.0
281,8.0
282,6.0
283,7.0
284,7.0
285,5.0
286,6.0
287,6.0
288,6.0
289,5.0
290,4.0
291,4.0
292,4.0
293,5.0
294,5.0
295,6.0
296,7.0
297,7.0
298,7.0
299,5.0
300,3.0
301,4.0
302,5.0
303,4.0
304,3.0
305,1.0
306,5.0
307,6.0
308,6.0
309,7.0
310,6.0
311,10.0
312,7.0
313,7.0
314,7.0
315,6.0
316,6.0
317,5.0
318,4.0
319,5.0
320,6.0
321,8.0
322,7.0
323,8.0
324,5.0
325,7.0
326,7.0
327,7.0
328,6.0
329,7.0
330,8.0
331,6.0
332,3.0
333,3.0
334,2.0
335,2.0
336,2.0
337,2.0
338,2.0
339,1.0
340,1.0
341,3.0
342,3.0
343,3.0
344,4.0
345,3.0
346,3.0
347,2.0
348,2.0
349,2.0
350,2.0
351,3.0
352,3.0
353,3.0
354,4.0
355,3.0
356,4.0
357,3.0
358,4.0
359,5.0
360,5.0
361,5.0
362,4.0
363,4.0
364,7.0
365,5.0
366,6.0
367,5.0
368,6.0
369,9.0
370,7.0
371,10.0
372,8.0
373,10.0
374,8.0
375,8.0
376,8.0
377,9.0
378,7.0
379,7.0
380,5.0
381,5.0
382,4.0
383,3.0
384,3.0
385,2.0
386,2.0
387,2.0
388,2.0
389,2.0
390,2.0
391,4.0
392,4.0
393,4.0
394,3.0
395,6.0
396,6.0
397,6.0
398,7.0
399,5.0
400,7.0
401,7.0
402,6.0
403,6.0
404,5.0
405,3.0
406,4.0
407,4.0
408,4.0
409,2.0
410,4.0
411,4.0
412,6.0
413,5.0
414,3.0
415,3.0
416,5.0
417,7.0
418,7.0
419,7.0
420,7.0
421,5.0
422,6.0
423,6.0
424,6.0
425,6.0
426,5.0
427,5.0
428,5.0
429,5.0
430,7.0
431,7.0
432,6.0
433,6.0
434,5.0
435,5.0
436,5.0
437,3.0
438,4.0
439,6.0
440,6.0
441,4.0
442,4.0
443,3.0
444,4.0
445,6.0
446,6.0
447,6.0
448,6.0
449,5.0
450,2.0
451,4.0
452,3.0
453,4.0
454,5.0
455,4.0
456,5.0
457,6.0
458,5.0
459,4.0
460,2.0
461,3.0
462,2.0
463,3.0
464,3.0
465,3.0
466,3.0
467,3.0
468,3.0
469,2.0
470,3.0
471,2.0
472,2.0
473,3.0
474,3.0
475,3.0
476,6.0
477,5.0
478,4.0
479,5.0
480,7.0
481,6.0
482,6.0
483,3.0
484,3.0
485,3.0
486,4.0
487,5.0
488,5.0
489,5.0
490,6.0
491,6.0
492,4.0
493,4.0
494,4.0
495,3.0
496,5.0
497,6.0
498,5.0
499,5.0
500,3.0
501,5.0
502,6.0
503,5.0
504,4.0
505,4.0
506,6.0
507,5.0
508,8.0
509,8.0
510,7.0
511,6.0
512,6.0
513,6.0
514,3.0
515,3.0
516,3.0
517,2.0
518,4.0
519,3.0
520,3.0
521,3.0
522,2.0
523,1.0
524,2.0
525,2.0
526,2.0
527,2.0
528,2.0
529,3.0
530,3.0
531,3.0
532,3.0
533,2.0
534,3.0
535,3.0
536,3.0
537,3.0
538,3.0
539,5.0
540,4.0
541,3.0
542,3.0
543,3.0
544,1.0
545,1.0
546,1.0
547,1.0
548,2.0
549,2.0
550,2.0
551,2.0
552,3.0
553,3.0
554,3.0
555,1.0
556,1.0
557,1.0
558,1.0
559,2.0
560,3.0
561,1.0
562,2.0
563,1.0
564,1.0
565,2.0
566,2.0
567,3.0
568,3.0
569,3.0
570,4.0
571,4.0
572,5.0
573,4.0
574,4.0
575,3.0
576,5.0
577,4.0
578,3.0
579,4.0
580,4.0
581,3.0
582,4.0
583,6.0
584,5.0
585,5.0
586,4.0
587,2.0
588,3.0
589,4.0
590,4.0
591,5.0
592,5.0
593,5.0
594,4.0
595,5.0
596,3.0
597,4.0
598,5.0
599,5.0
600,5.0
601,5.0
602,5.0
603,4.0
604,3.0
605,4.0
606,4.0
607,4.0
608,4.0
609,3.0
