,fcs_region
0,2.0
1,3.0
2,3.0
3,4.0
4,4.0
5,3.0
6,4.0
7,4.0
8,2.0
9,2.0
10,2.0
11,3.0
12,3.0
13,3.0
14,3.0
15,3.0
16,3.0
17,4.0
18,2.0
19,3.0
20,4.0
21,3.0
22,3.0
23,3.0
24,3.0
25,4.0
26,4.0
27,3.0
28,3.0
29,3.0
30,3.0
31,4.0
32,4.0
33,3.0
34,3.0
35,3.0
36,2.0
37,2.0
38,2.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,2.0
46,3.0
47,3.0
48,2.0
49,2.0
50,3.0
51,3.0
52,4.0
53,3.0
54,3.0
55,3.0
56,3.0
57,3.0
58,3.0
59,2.0
60,2.0
61,3.0
62,3.0
63,3.0
64,3.0
65,3.0
66,3.0
67,3.0
68,3.0
69,3.0
70,5.0
71,4.0
72,4.0
73,3.0
74,4.0
75,3.0
76,3.0
77,4.0
78,3.0
79,4.0
80,4.0
81,4.0
82,4.0
83,2.0
84,2.0
85,3.0
86,2.0
87,2.0
88,2.0
89,2.0
90,3.0
91,3.0
92,2.0
93,2.0
94,2.0
95,1.0
96,1.0
97,3.0
98,6.0
99,4.0
100,4.0
101,4.0
102,4.0
103,4.0
104,5.0
105,6.0
106,6.0
107,6.0
108,5.0
109,6.0
110,5.0
111,7.0
112,8.0
113,8.0
114,7.0
115,6.0
116,7.0
117,6.0
118,7.0
119,5.0
120,5.0
121,7.0
122,5.0
123,4.0
124,1.0
125,2.0
126,3.0
127,3.0
128,4.0
129,3.0
130,3.0
131,3.0
132,4.0
133,5.0
134,5.0
135,5.0
136,5.0
137,4.0
138,3.0
139,3.0
140,3.0
141,3.0
142,3.0
143,2.0
144,2.0
145,2.0
146,3.0
147,3.0
148,3.0
149,2.0
150,2.0
151,3.0
152,2.0
153,3.0
154,2.0
155,3.0
156,3.0
157,4.0
158,4.0
159,3.0
160,2.0
161,5.0
162,4.0
163,3.0
164,2.0
165,1.0
166,2.0
167,0.0
168,1.0
169,2.0
170,1.0
171,2.0
172,1.0
173,1.0
174,1.0
175,2.0
176,2.0
177,2.0
178,3.0
179,2.0
180,3.0
181,5.0
182,5.0
183,5.0
184,5.0
185,5.0
186,6.0
187,5.0
188,4.0
189,3.0
190,3.0
191,4.0
192,4.0
193,4.0
194,4.0
195,5.0
196,5.0
197,5.0
198,5.0
199,5.0
200,4.0
201,6.0
202,5.0
203,4.0
204,5.0
205,5.0
206,6.0
207,4.0
208,4.0
209,5.0
210,5.0
211,5.0
212,5.0
213,4.0
214,4.0
215,4.0
216,5.0
217,4.0
218,5.0
219,5.0
220,6.0
221,7.0
222,6.0
223,5.0
224,5.0
225,4.0
226,4.0
227,5.0
228,3.0
229,4.0
230,4.0
231,4.0
232,4.0
233,4.0
234,5.0
235,4.0
236,4.0
237,5.0
238,5.0
239,4.0
240,4.0
241,3.0
242,3.0
243,3.0
244,2.0
245,3.0
246,3.0
247,3.0
248,3.0
249,3.0
250,3.0
251,4.0
252,4.0
253,4.0
254,5.0
255,4.0
256,4.0
257,5.0
258,4.0
259,3.0
260,5.0
261,3.0
262,3.0
263,2.0
264,3.0
265,2.0
266,3.0
267,3.0
268,3.0
269,4.0
270,3.0
271,4.0
272,4.0
273,3.0
274,3.0
275,4.0
276,3.0
277,3.0
278,3.0
279,3.0
280,3.0
281,3.0
282,3.0
283,3.0
284,3.0
285,3.0
286,3.0
287,3.0
288,2.0
289,2.0
290,2.0
291,3.0
292,2.0
293,2.0
294,2.0
295,2.0
296,1.0
297,1.0
298,1.0
299,2.0
300,2.0
301,3.0
302,2.0
303,2.0
304,2.0
305,2.0
306,3.0
307,2.0
308,0.0
309,0.0
310,0.0
311,2.0
312,2.0
313,2.0
314,3.0
315,3.0
316,4.0
317,6.0
318,4.0
319,4.0
320,4.0
321,4.0
322,2.0
323,3.0
324,3.0
325,2.0
326,2.0
327,2.0
328,3.0
329,2.0
330,2.0
331,2.0
332,2.0
333,2.0
334,3.0
335,3.0
336,4.0
337,3.0
338,4.0
339,4.0
340,4.0
341,5.0
342,5.0
343,4.0
344,3.0
345,3.0
346,4.0
347,4.0
348,3.0
349,2.0
350,2.0
351,2.0
352,2.0
353,2.0
354,2.0
355,2.0
356,3.0
357,2.0
358,2.0
359,2.0
360,2.0
361,2.0
362,2.0
363,2.0
364,1.0
365,2.0
366,2.0
367,2.0
368,4.0
369,3.0
370,3.0
371,3.0
372,5.0
373,5.0
374,1.0
375,2.0
376,2.0
377,2.0
378,2.0
379,2.0
380,1.0
381,2.0
382,2.0
383,1.0
384,0.0
385,0.0
386,2.0
387,2.0
388,4.0
389,3.0
390,3.0
391,4.0
392,4.0
393,3.0
394,1.0
395,1.0
396,1.0
397,1.0
398,1.0
399,1.0
400,2.0
401,2.0
402,2.0
403,3.0
404,4.0
405,4.0
406,4.0
407,3.0
408,4.0
409,3.0
410,2.0
411,2.0
412,2.0
413,2.0
414,2.0
415,2.0
416,2.0
417,3.0
418,2.0
419,3.0
420,2.0
421,2.0
422,2.0
423,3.0
424,3.0
425,3.0
426,5.0
427,4.0
428,5.0
429,5.0
430,5.0
431,5.0
432,5.0
433,5.0
434,6.0
435,5.0
436,6.0
437,4.0
438,6.0
439,5.0
440,3.0
441,2.0
442,4.0
443,2.0
444,2.0
445,2.0
446,4.0
447,3.0
448,2.0
449,3.0
450,4.0
451,5.0
452,4.0
453,5.0
454,6.0
455,5.0
456,4.0
457,4.0
458,3.0
459,2.0
460,3.0
461,3.0
462,3.0
463,3.0
464,2.0
465,2.0
466,2.0
467,2.0
468,2.0
469,4.0
470,3.0
471,3.0
472,3.0
473,5.0
474,3.0
475,4.0
476,3.0
477,3.0
478,4.0
479,2.0
480,3.0
481,2.0
482,2.0
483,2.0
484,2.0
485,2.0
486,2.0
487,2.0
488,2.0
489,2.0
490,3.0
491,1.0
492,1.0
493,2.0
494,2.0
495,3.0
496,3.0
497,3.0
498,3.0
499,3.0
500,3.0
501,3.0
502,3.0
503,1.0
504,2.0
505,3.0
506,2.0
507,4.0
508,3.0
509,2.0
510,2.0
511,3.0
512,3.0
513,2.0
514,1.0
515,1.0
516,2.0
517,3.0
518,2.0
519,4.0
520,4.0
521,5.0
522,6.0
523,6.0
524,7.0
525,6.0
526,5.0
527,3.0
528,5.0
529,5.0
530,5.0
531,4.0
532,3.0
533,2.0
534,2.0
535,2.0
536,3.0
537,4.0
538,4.0
539,5.0
540,4.0
541,4.0
542,4.0
543,4.0
544,5.0
545,5.0
546,5.0
547,5.0
548,4.0
549,4.0
550,5.0
551,4.0
552,3.0
553,3.0
554,4.0
555,4.0
556,5.0
557,6.0
558,4.0
559,5.0
560,4.0
561,4.0
562,5.0
563,4.0
564,5.0
565,6.0
566,2.0
567,2.0
568,1.0
569,2.0
570,3.0
571,4.0
572,3.0
573,4.0
574,3.0
575,2.0
576,3.0
577,5.0
578,5.0
579,5.0
580,3.0
581,3.0
582,5.0
