,fcs_region
0,3.0
1,4.0
2,7.0
3,3.0
4,3.0
5,2.0
6,4.0
7,1.0
8,1.0
9,1.0
10,2.0
11,3.0
12,4.0
13,2.0
14,3.0
15,4.0
16,4.0
17,3.0
18,2.0
19,3.0
20,2.0
21,0.0
22,3.0
23,0.0
24,3.0
25,2.0
26,2.0
27,3.0
28,1.0
29,3.0
30,6.0
31,5.0
32,2.0
33,1.0
34,3.0
35,1.0
36,3.0
37,3.0
38,4.0
39,4.0
40,1.0
41,1.0
42,0.0
43,1.0
44,0.0
45,2.0
46,2.0
47,2.0
48,3.0
49,1.0
50,1.0
51,0.0
52,2.0
53,0.0
54,2.0
55,2.0
56,2.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,2.0
63,3.0
64,1.0
65,2.0
66,1.0
67,1.0
68,3.0
69,2.0
70,5.0
71,3.0
72,2.0
73,1.0
74,2.0
75,0.0
76,2.0
77,3.0
78,3.0
79,2.0
80,2.0
81,1.0
82,1.0
83,0.0
84,2.0
85,3.0
86,2.0
87,1.0
88,1.0
89,1.0
90,0.0
91,2.0
92,1.0
93,0.0
94,2.0
95,0.0
96,3.0
97,3.0
98,3.0
99,4.0
100,3.0
101,4.0
102,4.0
103,3.0
104,3.0
105,5.0
106,3.0
107,2.0
108,1.0
109,2.0
110,2.0
111,2.0
112,2.0
113,3.0
114,4.0
115,3.0
116,4.0
117,6.0
118,7.0
119,1.0
120,4.0
121,3.0
122,5.0
123,2.0
124,0.0
125,1.0
126,3.0
127,2.0
128,0.0
129,0.0
130,0.0
131,3.0
132,3.0
133,3.0
134,4.0
135,3.0
136,3.0
137,3.0
138,3.0
139,3.0
140,5.0
141,5.0
142,4.0
143,6.0
144,4.0
145,1.0
146,2.0
147,4.0
148,4.0
149,4.0
150,4.0
151,4.0
152,4.0
153,4.0
154,5.0
155,6.0
156,3.0
157,4.0
158,3.0
159,8.0
160,6.0
161,4.0
162,5.0
163,5.0
164,4.0
165,2.0
166,5.0
167,4.0
168,4.0
169,4.0
170,3.0
171,2.0
172,5.0
173,4.0
174,5.0
175,3.0
176,1.0
177,3.0
178,3.0
179,4.0
180,2.0
181,1.0
182,3.0
183,5.0
184,3.0
185,2.0
186,3.0
187,3.0
188,3.0
189,3.0
190,4.0
191,1.0
192,1.0
193,3.0
194,3.0
195,6.0
196,4.0
197,3.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,3.0
204,3.0
205,3.0
206,4.0
207,2.0
208,2.0
209,0.0
210,0.0
211,0.0
212,2.0
213,2.0
214,2.0
215,3.0
216,5.0
217,3.0
218,3.0
219,4.0
220,5.0
221,7.0
222,7.0
223,8.0
224,4.0
225,6.0
226,4.0
227,6.0
228,6.0
229,5.0
230,5.0
231,3.0
232,4.0
233,2.0
234,2.0
235,2.0
236,2.0
237,2.0
238,3.0
239,2.0
240,2.0
241,1.0
242,2.0
243,4.0
244,3.0
245,5.0
246,8.0
247,2.0
248,2.0
249,3.0
250,4.0
251,2.0
252,1.0
253,1.0
254,1.0
255,1.0
256,1.0
257,2.0
258,0.0
259,2.0
260,2.0
261,3.0
262,4.0
263,4.0
264,3.0
265,4.0
266,1.0
267,3.0
268,3.0
269,3.0
270,2.0
271,1.0
272,0.0
273,0.0
274,0.0
275,1.0
276,1.0
277,2.0
278,2.0
279,3.0
280,1.0
281,1.0
282,4.0
283,4.0
284,4.0
285,3.0
286,3.0
287,6.0
288,6.0
289,3.0
290,2.0
291,0.0
292,0.0
293,3.0
294,4.0
295,3.0
296,4.0
297,4.0
298,4.0
299,3.0
300,2.0
301,2.0
302,3.0
303,2.0
304,3.0
305,4.0
306,4.0
307,2.0
308,3.0
309,0.0
310,1.0
311,3.0
312,2.0
313,4.0
314,5.0
315,7.0
316,5.0
317,4.0
318,6.0
319,5.0
320,7.0
321,3.0
322,4.0
323,4.0
324,5.0
325,6.0
326,2.0
327,4.0
328,3.0
329,4.0
330,0.0
331,5.0
332,6.0
333,3.0
334,7.0
335,3.0
336,2.0
337,2.0
338,3.0
339,6.0
340,7.0
341,7.0
342,4.0
343,5.0
344,5.0
345,4.0
346,4.0
347,4.0
348,6.0
349,4.0
350,6.0
351,6.0
352,1.0
353,3.0
354,4.0
355,5.0
356,8.0
357,7.0
358,5.0
359,4.0
360,5.0
361,5.0
362,2.0
363,3.0
364,2.0
365,3.0
366,5.0
367,3.0
368,1.0
369,0.0
370,1.0
371,2.0
372,3.0
373,2.0
374,1.0
375,2.0
376,3.0
377,5.0
378,5.0
379,4.0
380,4.0
381,5.0
382,4.0
383,2.0
384,2.0
385,2.0
386,3.0
387,5.0
388,3.0
389,2.0
390,1.0
391,2.0
392,3.0
393,4.0
394,6.0
395,7.0
396,4.0
397,3.0
398,4.0
399,1.0
400,6.0
401,6.0
402,2.0
403,5.0
404,2.0
405,5.0
406,3.0
407,3.0
408,4.0
409,6.0
410,5.0
411,6.0
412,3.0
413,3.0
414,4.0
415,4.0
416,5.0
417,4.0
418,5.0
419,2.0
420,3.0
421,3.0
422,3.0
423,3.0
424,3.0
425,5.0
426,6.0
427,6.0
428,6.0
429,3.0
430,3.0
431,6.0
432,5.0
433,3.0
434,4.0
435,2.0
436,3.0
437,4.0
438,3.0
439,4.0
440,2.0
441,2.0
442,2.0
443,1.0
444,1.0
445,2.0
446,3.0
447,1.0
448,2.0
449,2.0
450,2.0
451,2.0
452,2.0
453,3.0
454,2.0
455,0.0
456,3.0
457,0.0
458,1.0
459,2.0
460,2.0
461,3.0
462,2.0
463,3.0
464,4.0
465,3.0
466,4.0
467,3.0
468,3.0
469,2.0
470,2.0
471,4.0
472,3.0
473,3.0
474,3.0
475,5.0
476,6.0
477,2.0
478,3.0
479,2.0
480,1.0
481,1.0
482,1.0
483,1.0
484,0.0
485,1.0
486,2.0
487,2.0
488,0.0
489,2.0
490,3.0
491,3.0
492,2.0
493,2.0
494,1.0
495,2.0
496,2.0
497,3.0
498,4.0
499,5.0
500,3.0
501,3.0
502,2.0
503,6.0
504,5.0
505,5.0
506,8.0
507,8.0
508,5.0
509,5.0
510,5.0
511,6.0
512,4.0
513,6.0
514,4.0
515,4.0
516,4.0
