,on_num,off_num
0,17.0,787.0
1,26.0,776.0
2,28.0,771.0
3,37.0,768.0
4,43.0,763.0
5,50.0,753.0
6,51.0,748.0
7,55.0,755.0
8,56.0,745.0
9,61.0,743.0
10,61.0,745.0
11,68.0,732.0
12,67.0,732.0
13,66.0,736.0
14,73.0,728.0
15,96.0,724.0
16,84.0,729.0
17,82.0,724.0
18,85.0,721.0
19,91.0,721.0
20,91.0,712.0
21,94.0,717.0
22,82.0,717.0
23,86.0,717.0
24,89.0,714.0
25,96.0,714.0
26,94.0,709.0
27,88.0,718.0
28,98.0,716.0
29,95.0,710.0
30,92.0,705.0
31,105.0,706.0
32,103.0,709.0
33,109.0,703.0
34,106.0,702.0
35,112.0,692.0
36,106.0,691.0
37,113.0,694.0
38,112.0,690.0
39,121.0,688.0
40,126.0,690.0
41,124.0,693.0
42,125.0,688.0
43,130.0,687.0
44,128.0,688.0
45,124.0,689.0
46,130.0,680.0
47,126.0,687.0
48,126.0,684.0
49,139.0,689.0
50,141.0,686.0
51,137.0,685.0
52,134.0,686.0
53,141.0,686.0
54,139.0,683.0
55,139.0,678.0
56,135.0,678.0
57,142.0,671.0
58,147.0,673.0
59,148.0,672.0
60,146.0,677.0
61,150.0,674.0
62,150.0,673.0
63,147.0,669.0
64,146.0,664.0
65,149.0,667.0
66,154.0,668.0
67,152.0,668.0
68,156.0,669.0
69,156.0,669.0
70,158.0,665.0
71,163.0,668.0
72,166.0,662.0
73,158.0,660.0
74,167.0,657.0
75,169.0,662.0
76,166.0,662.0
77,172.0,654.0
78,167.0,655.0
79,167.0,656.0
80,163.0,655.0
81,172.0,647.0
82,174.0,647.0
83,177.0,650.0
84,175.0,649.0
85,170.0,644.0
86,171.0,648.0
87,179.0,641.0
88,178.0,638.0
89,185.0,640.0
90,184.0,635.0
91,186.0,634.0
92,187.0,633.0
93,188.0,625.0
94,186.0,624.0
95,187.0,627.0
96,185.0,628.0
97,193.0,628.0
98,192.0,627.0
99,188.0,623.0
100,184.0,623.0
101,189.0,625.0
102,191.0,625.0
103,195.0,622.0
104,193.0,626.0
105,199.0,617.0
106,199.0,623.0
107,196.0,620.0
108,195.0,621.0
109,194.0,623.0
110,197.0,626.0
111,195.0,620.0
112,193.0,618.0
113,196.0,616.0
114,187.0,617.0
115,194.0,613.0
116,206.0,611.0
117,209.0,611.0
118,212.0,606.0
119,216.0,609.0
120,212.0,615.0
121,210.0,615.0
122,204.0,608.0
123,207.0,609.0
124,208.0,606.0
125,212.0,608.0
126,216.0,607.0
127,218.0,604.0
128,211.0,606.0
129,213.0,605.0
130,211.0,609.0
131,212.0,606.0
132,210.0,606.0
133,213.0,603.0
134,203.0,606.0
135,210.0,603.0
136,214.0,605.0
137,216.0,598.0
138,215.0,599.0
139,216.0,601.0
140,219.0,601.0
141,211.0,595.0
142,212.0,598.0
143,213.0,591.0
144,213.0,594.0
145,219.0,592.0
146,213.0,587.0
147,222.0,590.0
148,221.0,588.0
149,214.0,591.0
150,220.0,585.0
151,218.0,587.0
152,217.0,584.0
153,220.0,574.0
154,223.0,568.0
155,225.0,568.0
156,214.0,575.0
157,220.0,578.0
158,221.0,572.0
159,222.0,573.0
160,225.0,569.0
161,230.0,569.0
162,234.0,571.0
163,240.0,577.0
164,234.0,571.0
165,240.0,575.0
166,238.0,576.0
167,240.0,575.0
168,242.0,578.0
169,244.0,573.0
170,238.0,578.0
171,241.0,567.0
172,240.0,565.0
173,243.0,567.0
174,245.0,564.0
175,241.0,564.0
176,246.0,563.0
177,247.0,561.0
178,251.0,564.0
179,252.0,556.0
180,249.0,548.0
181,250.0,552.0
182,251.0,551.0
183,250.0,547.0
184,245.0,543.0
185,251.0,539.0
186,258.0,542.0
187,261.0,549.0
188,265.0,560.0
189,270.0,555.0
190,271.0,543.0
191,272.0,549.0
192,268.0,548.0
193,275.0,540.0
194,271.0,547.0
195,264.0,550.0
196,265.0,549.0
197,270.0,549.0
198,272.0,546.0
199,272.0,546.0
200,272.0,547.0
201,277.0,544.0
202,286.0,540.0
203,286.0,539.0
204,280.0,533.0
205,275.0,528.0
206,272.0,533.0
207,267.0,538.0
208,268.0,531.0
209,270.0,527.0
210,273.0,524.0
211,267.0,523.0
212,262.0,527.0
213,266.0,529.0
214,270.0,524.0
215,266.0,524.0
216,262.0,519.0
217,267.0,522.0
218,269.0,521.0
219,272.0,518.0
220,270.0,521.0
221,274.0,520.0
222,277.0,516.0
223,279.0,516.0
224,274.0,514.0
225,276.0,515.0
226,280.0,512.0
227,274.0,515.0
228,284.0,515.0
229,282.0,518.0
230,285.0,519.0
231,285.0,514.0
232,284.0,518.0
233,280.0,512.0
234,279.0,513.0
235,277.0,518.0
236,284.0,519.0
237,283.0,516.0
238,285.0,516.0
239,281.0,521.0
240,278.0,518.0
241,279.0,519.0
242,289.0,525.0
243,286.0,520.0
244,285.0,522.0
245,287.0,516.0
246,282.0,514.0
247,285.0,513.0
248,288.0,514.0
249,285.0,514.0
250,287.0,516.0
251,287.0,521.0
252,283.0,518.0
253,291.0,519.0
254,288.0,514.0
255,286.0,515.0
256,288.0,514.0
257,289.0,519.0
258,303.0,517.0
259,300.0,514.0
260,302.0,512.0
261,306.0,516.0
262,305.0,513.0
263,307.0,516.0
264,305.0,515.0
265,296.0,515.0
266,297.0,513.0
267,302.0,515.0
268,297.0,516.0
269,292.0,511.0
270,294.0,518.0
271,293.0,513.0
272,301.0,511.0
273,298.0,510.0
274,305.0,511.0
275,304.0,507.0
276,310.0,510.0
277,304.0,509.0
278,308.0,506.0
279,307.0,513.0
280,324.0,506.0
281,322.0,506.0
282,319.0,507.0
283,320.0,502.0
284,319.0,505.0
285,322.0,507.0
286,318.0,505.0
287,317.0,501.0
288,317.0,498.0
289,321.0,494.0
290,319.0,496.0
291,319.0,495.0
292,323.0,496.0
293,323.0,489.0
294,324.0,491.0
295,320.0,491.0
296,313.0,489.0
297,314.0,493.0
298,314.0,489.0
299,322.0,491.0
300,314.0,496.0
301,311.0,500.0
302,315.0,491.0
303,315.0,488.0
304,323.0,484.0
305,312.0,485.0
306,317.0,486.0
307,313.0,489.0
308,313.0,491.0
309,318.0,487.0
310,320.0,495.0
311,320.0,492.0
312,317.0,491.0
313,319.0,486.0
314,320.0,491.0
315,319.0,491.0
316,321.0,488.0
317,315.0,486.0
318,318.0,488.0
319,326.0,484.0
320,325.0,481.0
321,325.0,483.0
322,323.0,481.0
323,323.0,482.0
324,324.0,479.0
325,330.0,480.0
326,329.0,479.0
327,328.0,484.0
328,323.0,478.0
329,330.0,476.0
330,325.0,483.0
331,321.0,480.0
332,324.0,477.0
333,325.0,476.0
334,325.0,484.0
335,332.0,483.0
336,330.0,479.0
337,330.0,475.0
338,329.0,480.0
339,320.0,474.0
340,312.0,470.0
341,311.0,473.0
342,316.0,469.0
343,327.0,474.0
344,323.0,477.0
345,317.0,480.0
346,320.0,477.0
347,325.0,477.0
348,322.0,479.0
349,330.0,477.0
350,334.0,476.0
351,339.0,479.0
352,339.0,476.0
353,332.0,476.0
354,329.0,474.0
355,334.0,470.0
356,331.0,476.0
357,337.0,468.0
358,336.0,472.0
359,332.0,472.0
360,330.0,474.0
361,336.0,475.0
362,334.0,470.0
363,334.0,471.0
364,333.0,470.0
365,336.0,471.0
366,344.0,472.0
367,344.0,471.0
368,349.0,470.0
369,344.0,472.0
370,355.0,474.0
371,341.0,473.0
372,345.0,469.0
373,348.0,467.0
374,345.0,467.0
375,345.0,466.0
376,345.0,471.0
377,347.0,470.0
378,335.0,471.0
379,334.0,470.0
380,342.0,459.0
381,341.0,462.0
382,340.0,466.0
383,339.0,466.0
384,338.0,467.0
385,344.0,469.0
386,342.0,467.0
387,344.0,466.0
388,339.0,468.0
