,frap_region
0,[808   0]
1,[793  20]
2,[785  25]
3,[774  30]
4,[774  33]
5,[772  33]
6,[764  35]
7,[760  35]
8,[758  44]
9,[754  46]
10,[756  43]
11,[758  40]
12,[756  48]
13,[748  45]
14,[747  52]
15,[746  56]
16,[740  56]
17,[741  56]
18,[739  55]
19,[734  60]
20,[730  60]
21,[731  65]
22,[726  58]
23,[724  65]
24,[720  73]
25,[719  71]
26,[723  73]
27,[720  77]
28,[717  82]
29,[715  85]
30,[717  85]
31,[711  82]
32,[712  78]
33,[716  85]
34,[714  90]
35,[715  93]
36,[713  93]
37,[719  92]
38,[710  90]
39,[711  87]
40,[710  91]
41,[707  95]
42,[705  95]
43,[705  94]
44,[707  92]
45,[704  89]
46,[708  82]
47,[705  82]
48,[701  83]
49,[702  92]
50,[703  92]
51,[698  95]
52,[699  99]
53,[706 103]
54,[705 104]
55,[703 113]
56,[701 106]
57,[696 100]
58,[699  99]
59,[698  98]
60,[696  98]
61,[699 102]
62,[700 108]
63,[695 106]
64,[696 106]
65,[694 106]
66,[692 113]
67,[694 113]
68,[685 109]
69,[684 117]
70,[686 121]
71,[684 128]
72,[684 123]
73,[684 120]
74,[684 119]
75,[683 117]
76,[686 119]
77,[689 122]
78,[682 124]
79,[684 123]
80,[680 126]
81,[680 127]
82,[686 122]
83,[679 127]
84,[683 124]
85,[681 124]
86,[683 131]
87,[681 132]
88,[685 135]
89,[683 139]
90,[678 134]
91,[681 130]
92,[679 129]
93,[682 126]
94,[682 136]
95,[677 133]
96,[676 135]
97,[678 128]
98,[676 132]
99,[670 132]
100,[674 134]
101,[670 138]
102,[670 134]
103,[672 141]
104,[679 147]
105,[675 142]
106,[674 148]
107,[676 145]
108,[677 139]
109,[678 144]
110,[675 137]
111,[664 145]
112,[660 148]
113,[657 148]
114,[657 152]
115,[659 148]
116,[660 146]
117,[658 152]
118,[659 151]
119,[656 151]
120,[659 143]
121,[653 145]
122,[648 155]
123,[648 159]
124,[645 154]
125,[642 155]
126,[644 154]
127,[645 156]
128,[642 152]
129,[640 149]
130,[647 154]
131,[635 152]
132,[640 158]
133,[638 161]
134,[647 162]
135,[644 160]
136,[643 158]
137,[643 162]
138,[637 162]
139,[637 158]
140,[635 159]
141,[637 156]
142,[636 159]
143,[638 161]
144,[633 171]
145,[633 169]
146,[636 173]
147,[636 172]
148,[631 169]
149,[633 174]
150,[636 165]
151,[633 164]
152,[631 163]
153,[631 167]
154,[631 169]
155,[634 174]
156,[630 172]
157,[629 176]
158,[629 169]
159,[633 170]
160,[625 175]
161,[630 169]
162,[631 183]
163,[634 182]
164,[633 181]
165,[628 183]
166,[620 194]
167,[624 192]
168,[620 185]
169,[627 188]
170,[625 191]
171,[625 193]
172,[622 194]
173,[625 195]
174,[621 189]
175,[614 191]
176,[615 193]
177,[614 192]
178,[618 197]
179,[619 198]
180,[611 197]
181,[609 196]
182,[608 198]
183,[604 196]
184,[606 203]
185,[605 205]
186,[612 209]
187,[613 206]
188,[607 203]
189,[609 203]
190,[608 205]
191,[605 210]
192,[609 209]
193,[608 203]
194,[606 211]
195,[600 210]
196,[603 212]
197,[607 216]
198,[612 208]
199,[610 209]
200,[614 204]
201,[614 203]
202,[607 209]
203,[603 214]
204,[600 204]
205,[601 202]
206,[596 205]
207,[596 214]
208,[595 218]
209,[603 221]
210,[600 216]
211,[602 221]
212,[597 217]
213,[593 218]
214,[598 216]
215,[592 221]
216,[596 225]
217,[600 225]
218,[600 228]
219,[605 219]
220,[603 225]
221,[597 227]
222,[606 227]
223,[599 229]
224,[601 228]
225,[603 231]
226,[601 235]
227,[596 237]
228,[597 236]
229,[591 238]
230,[593 234]
231,[595 231]
232,[591 228]
233,[594 223]
234,[597 228]
235,[593 231]
236,[595 228]
237,[599 234]
238,[593 241]
239,[590 243]
240,[591 240]
241,[590 239]
242,[586 240]
243,[590 235]
244,[586 239]
245,[588 233]
246,[584 232]
247,[586 233]
248,[583 230]
249,[587 238]
250,[584 237]
251,[581 235]
252,[581 243]
253,[580 236]
254,[582 237]
255,[584 241]
256,[577 240]
257,[575 241]
258,[578 238]
259,[575 239]
260,[575 243]
261,[577 240]
262,[574 245]
263,[577 243]
264,[576 243]
265,[578 243]
266,[576 245]
267,[575 244]
268,[580 251]
269,[572 248]
270,[567 242]
271,[574 254]
272,[572 250]
273,[564 254]
274,[560 250]
275,[560 253]
276,[562 255]
277,[564 247]
278,[566 255]
279,[566 245]
280,[563 246]
281,[571 256]
282,[569 253]
283,[569 250]
284,[565 247]
285,[566 246]
286,[572 252]
287,[563 248]
288,[561 249]
289,[560 247]
290,[562 246]
291,[562 248]
292,[559 254]
293,[564 258]
294,[563 256]
295,[570 249]
296,[571 250]
297,[569 253]
298,[567 255]
299,[567 250]
300,[564 256]
301,[565 253]
302,[568 255]
303,[566 256]
304,[568 256]
305,[570 259]
306,[571 265]
307,[568 264]
308,[572 260]
309,[566 259]
310,[568 266]
311,[561 259]
312,[566 263]
313,[567 255]
314,[564 258]
315,[563 256]
316,[563 256]
317,[563 260]
318,[560 257]
319,[563 268]
320,[565 256]
321,[565 262]
322,[563 256]
323,[561 261]
324,[558 262]
325,[558 269]
326,[555 260]
327,[557 270]
328,[560 269]
329,[563 268]
330,[558 262]
331,[559 261]
332,[561 272]
333,[561 273]
334,[559 264]
335,[563 266]
336,[562 273]
337,[564 266]
338,[564 267]
339,[566 272]
340,[569 278]
341,[568 273]
342,[569 271]
343,[572 268]
344,[568 270]
345,[557 272]
346,[555 269]
347,[558 264]
348,[561 262]
349,[560 269]
350,[559 269]
351,[562 273]
352,[559 273]
353,[554 270]
354,[555 269]
355,[550 272]
356,[550 275]
357,[551 270]
358,[552 268]
359,[554 271]
360,[554 268]
361,[552 273]
362,[551 279]
363,[550 281]
364,[552 286]
365,[553 297]
366,[552 295]
367,[548 292]
368,[549 285]
369,[545 289]
370,[545 295]
371,[546 292]
372,[546 290]
373,[548 293]
374,[547 289]
375,[544 288]
376,[538 285]
377,[540 291]
378,[540 292]
379,[540 294]
380,[544 297]
381,[543 298]
382,[544 292]
383,[544 299]
384,[541 295]
385,[541 298]
386,[543 300]
387,[543 299]
388,[545 299]
389,[545 298]
390,[541 297]
391,[536 293]
392,[542 294]
393,[541 288]
394,[530 291]
395,[526 292]
396,[526 295]
397,[526 306]
398,[530 298]
399,[530 300]
400,[531 290]
401,[531 298]
402,[532 297]
403,[526 297]
404,[524 297]
